link_row,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,highway_code,vol_base_case,capacity_base_case,freespeed_ms,length_m,degree,times_intervened,mean_abs_response,std_response
27975,2.27029,48.85439,2.27177,48.85384,2.27103,48.85412,4,14.1,480.0,8.33,125.1,3,0,1.572,1.736
27976,2.27177,48.85384,2.27225,48.85376,2.27201,48.8538,4,16.6,480.0,8.33,35.9,2,0,1.806,1.779
27977,2.26715,48.8493,2.26743,48.84899,2.26729,48.84915,4,0.0,480.0,8.33,40.5,2,0,0.0,0.0
27978,2.2656,48.84972,2.26517,48.84887,2.26538,48.8493,4,39.0,480.0,8.33,100.0,2,0,3.736,4.318
27979,2.26938,48.84909,2.26846,48.84856,2.26892,48.84882,4,5.6,480.0,8.33,90.0,2,0,1.105,1.161
27980,2.2636,48.84991,2.26415,48.8498,2.26387,48.84985,4,0.0,480.0,6.94,42.1,3,0,0.0,0.0
27981,2.26415,48.8498,2.2636,48.84991,2.26387,48.84985,4,0.3,480.0,6.94,42.1,3,0,0.55,0.489
27982,2.26415,48.8498,2.26472,48.84992,2.26443,48.84986,4,1.0,480.0,6.94,43.9,3,0,0.362,0.464
27983,2.26472,48.84992,2.26415,48.8498,2.26443,48.84986,4,1.2,480.0,6.94,43.9,3,0,0.74,0.271
27984,2.26472,48.84992,2.26507,48.85008,2.26489,48.85,4,0.0,480.0,6.94,31.3,2,0,0.0,0.0
27985,2.26507,48.85008,2.26472,48.84992,2.26489,48.85,4,0.0,480.0,6.94,31.3,2,0,0.0,0.0
27986,2.26651,48.85338,2.26529,48.85261,2.2659,48.85299,4,3.0,480.0,8.33,124.7,2,0,0.0,0.0
27987,2.26544,48.85398,2.26651,48.85338,2.26598,48.85368,4,9.6,480.0,8.33,103.4,2,0,2.02,1.283
27988,2.26651,48.85338,2.26695,48.85313,2.26673,48.85326,4,6.6,480.0,8.33,42.7,3,0,2.02,1.283
27989,2.26695,48.85313,2.26793,48.85253,2.26744,48.85283,4,6.6,480.0,8.33,98.0,4,0,2.02,1.283
27990,2.26793,48.85253,2.26623,48.8518,2.26708,48.85217,4,10.0,480.0,8.33,148.4,3,0,0.657,0.857
27991,2.26623,48.8518,2.26525,48.85139,2.26574,48.8516,4,7.5,480.0,8.33,85.1,2,0,0.897,1.039
27992,2.26424,48.85215,2.26483,48.85302,2.26453,48.85258,4,26.7,480.0,8.33,105.5,3,0,1.767,1.926
27993,2.26483,48.85302,2.26424,48.85215,2.26453,48.85258,4,72.8,480.0,8.33,105.5,2,0,3.923,4.198
27994,2.26483,48.85302,2.26544,48.85398,2.26513,48.8535,4,26.0,480.0,8.33,116.3,4,0,1.883,1.932
27995,2.26544,48.85398,2.26483,48.85302,2.26513,48.8535,4,4.4,480.0,8.33,116.3,5,0,0.879,0.747
27996,2.26544,48.85398,2.26573,48.85496,2.26559,48.85447,4,18.1,480.0,8.33,110.8,3,0,1.49,1.895
27997,2.26573,48.85496,2.26544,48.85398,2.26559,48.85447,4,6.0,480.0,8.33,110.8,2,0,1.505,1.524
27998,2.26573,48.85496,2.26611,48.85554,2.26592,48.85525,4,17.1,480.0,8.33,70.6,3,0,1.5,1.904
27999,2.26611,48.85554,2.26573,48.85496,2.26592,48.85525,4,5.0,480.0,8.33,70.6,4,0,1.519,1.53
28000,2.27063,48.84809,2.27018,48.84848,2.27041,48.84829,4,43.5,480.0,8.33,55.1,4,0,3.056,3.712
28001,2.27018,48.84848,2.26938,48.84909,2.26978,48.84879,4,57.5,480.0,8.33,89.5,3,0,3.031,3.655
28002,2.26938,48.84909,2.26863,48.84966,2.269,48.84938,4,56.5,480.0,8.33,84.1,2,0,3.127,3.8
28003,2.30866,48.87502,2.30918,48.87503,2.30892,48.87502,1,120.9,3600.0,8.33,38.5,2,333,6.047,7.3
28004,2.27091,48.85538,2.27173,48.85628,2.27132,48.85583,4,21.5,480.0,8.33,117.1,3,0,2.392,2.965
28005,2.27173,48.85628,2.2719,48.85659,2.27181,48.85644,4,18.0,480.0,8.33,39.0,2,0,2.365,2.897
28006,2.25956,48.84813,2.25949,48.84799,2.25953,48.84806,1,22.6,4800.0,8.33,15.6,4,318,2.428,2.115
28007,2.2513,48.84799,2.25257,48.84797,2.25194,48.84798,2,142.2,1600.0,13.89,93.0,3,318,3.533,2.224
28008,2.25257,48.84797,2.2513,48.84799,2.25194,48.84798,2,106.7,1600.0,13.89,93.0,2,318,1.691,1.802
28009,2.25802,48.84787,2.25805,48.84814,2.25803,48.848,9,3.0,2400.0,8.33,30.1,2,0,0.632,0.846
28010,2.2831,48.8583,2.2827,48.85886,2.2829,48.85858,4,5.8,480.0,8.33,68.8,5,0,0.772,0.958
28011,2.2827,48.85886,2.28312,48.85919,2.28291,48.85902,4,19.9,480.0,8.33,49.0,4,0,1.01,1.209
28012,2.27761,48.85599,2.27922,48.85471,2.27841,48.85535,4,11.0,480.0,8.33,184.8,2,0,3.517,2.286
28013,2.27922,48.85471,2.27761,48.85599,2.27841,48.85535,4,0.7,480.0,8.33,184.8,3,0,0.576,0.653
28014,2.27785,48.85619,2.27891,48.85691,2.27838,48.85655,4,9.6,480.0,8.33,112.5,3,0,1.49,1.839
28015,2.2796,48.85484,2.27785,48.85619,2.27873,48.85551,4,8.9,480.0,8.33,197.9,3,0,2.339,2.252
28016,2.27785,48.85619,2.27605,48.85671,2.27695,48.85645,4,7.6,480.0,8.33,144.3,2,0,2.389,2.073
28017,2.27605,48.85671,2.27586,48.85678,2.27595,48.85674,4,7.6,480.0,8.33,16.1,2,0,2.389,2.073
28018,2.27586,48.85678,2.27577,48.8568,2.27581,48.85679,4,10.2,480.0,8.33,8.3,2,0,2.172,2.055
28019,2.27577,48.8568,2.27473,48.85712,2.27525,48.85696,4,10.2,480.0,8.33,84.2,2,0,2.172,2.055
28020,2.27473,48.85712,2.27342,48.85711,2.27407,48.85712,4,12.8,480.0,8.33,95.6,2,0,1.55,1.975
28021,2.30206,48.84537,2.30241,48.84373,2.30223,48.84455,3,69.9,480.0,8.33,183.2,4,351,6.69,7.992
28022,2.30241,48.84373,2.30206,48.84537,2.30223,48.84455,3,41.6,480.0,8.33,183.2,6,351,3.84,4.376
28023,2.30241,48.84373,2.30262,48.84273,2.30251,48.84323,3,65.4,480.0,8.33,113.4,5,351,7.164,8.518
28024,2.30262,48.84273,2.30241,48.84373,2.30251,48.84323,3,40.3,480.0,8.33,113.4,5,351,3.495,4.189
28025,2.28247,48.85679,2.28108,48.85796,2.28177,48.85737,4,1.5,480.0,8.33,164.9,5,0,0.582,0.616
28026,2.28463,48.85849,2.28443,48.85829,2.28453,48.85839,3,19.7,480.0,8.33,26.8,3,318,2.911,2.19
28027,2.28443,48.85829,2.28312,48.8572,2.28377,48.85774,3,24.6,480.0,8.33,155.3,2,318,2.287,2.382
28028,2.28312,48.8572,2.28247,48.85679,2.28279,48.85699,3,24.6,480.0,8.33,66.3,4,318,2.287,2.382
28029,2.30918,48.87503,2.30866,48.87502,2.30892,48.87502,1,104.4,2400.0,8.33,38.5,4,333,14.557,17.597
28030,2.28253,48.85003,2.28289,48.84984,2.28271,48.84994,4,23.0,960.0,8.33,33.2,2,0,6.915,6.349
28031,2.2822,48.85873,2.2827,48.85886,2.28245,48.8588,4,14.1,480.0,8.33,39.3,5,0,0.957,1.198
